s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.1823513,43129.0182275,2.9531576,-0.0033965,9.7222222,0.0000000
1.0039031,89655.9860307,43128.0337074,2.9289562,-0.0503067,9.7222222,-1.7652648
1.9286313,89655.7584210,43127.1374285,2.8446798,-0.1262944,9.5528438,-3.0000000
2.8437038,89655.4348191,43126.2814848,2.7099182,-0.1632341,9.2610145,3.0000000
3.7967098,89654.9736870,43125.4474719,2.5661291,-0.1440592,9.5647491,-2.8868013
4.7692608,89654.3855607,43124.6728992,2.4151105,-0.1630385,9.2665691,3.0000000
5.7659015,89653.6678482,43123.9813925,2.2623090,-0.1495561,9.5837960,1.3514687
6.7546252,89652.8639045,43123.4058500,2.1253528,-0.1287782,9.7222222,0.0000000
7.7185390,89652.0145459,43122.9500873,2.0016452,-0.1261918,9.7222222,0.0000000
8.6860765,89651.1136532,43122.5972117,1.8920035,-0.0935891,9.7222222,0.0000000
9.6965585,89650.1428491,43122.3168311,1.8162049,-0.0672956,9.7222222,0.0000000
10.6509713,89649.2102532,43122.1139304,1.7567628,-0.0492742,9.7222222,0.0000000
11.6298877,89648.2435896,43121.9595325,1.6985627,-0.0679012,9.7222222,0.0000000
12.6373274,89647.2402221,43121.8690423,1.6165451,-0.1074273,9.7222222,0.0000000
13.5700150,89646.3075345,43121.8689597,1.5328813,-0.0590972,9.7222222,0.0000000
14.4910275,89645.3884698,43121.9288285,1.4780102,-0.0630934,9.7222222,0.0000000
15.3873310,89644.4985816,43122.0358745,1.4259503,-0.0510983,9.7222222,0.0000000
16.2746049,89643.6236331,43122.1832522,1.3825944,-0.0463576,9.7222222,0.0000000
17.1665439,89642.7513012,43122.3692423,1.3378103,-0.0534605,9.7222222,0.0000000
18.0791774,89641.8691908,43122.6032956,1.2835114,-0.0636751,9.7222222,0.0000000
19.0343316,89640.9616952,43122.9012409,1.2238946,-0.0619466,9.7222222,0.0000000
20.0152250,89640.0487586,43123.2599867,1.1710750,-0.0482262,9.7222222,0.0000000
20.9897494,89639.1614750,43123.6630071,1.1155137,-0.0621421,9.7222222,0.0000000
21.9961552,89638.2713492,43124.1326120,1.0555496,-0.0597287,9.7222222,0.0000000
22.9982437,89637.4148332,43124.6527676,0.9934544,-0.0661617,9.7222222,0.0000000
23.9666599,89636.6218034,43125.2085857,0.9242244,-0.0739736,9.7222222,0.0000000
24.9366139,89635.8668935,43125.8176191,0.8632459,-0.0518637,9.7222222,0.0000000
25.9307769,89635.1254687,43126.4799251,0.8245243,-0.0257553,9.7222222,0.0000000
26.9542779,89634.3837528,43127.1851995,0.7949971,-0.0356826,9.7222222,0.0000000
27.9268018,89633.6992578,43127.8760463,0.7707828,-0.0104575,9.7222222,0.0000000
28.9370344,89633.0003215,43128.6054693,0.7558510,-0.0193466,9.7222222,0.0000000
29.9596328,89632.3068270,43129.3569830,0.7337223,-0.0250840,9.7222222,0.0000000
30.9460666,89631.6533807,43130.0959415,0.7174564,-0.0066817,9.7222222,0.0000000
31.9144293,89631.0182925,43130.8269608,0.7141848,-0.0000267,9.7222222,0.0000000
32.8458387,89630.4090279,43131.5314608,0.7107826,-0.0069434,9.7222222,0.0000000
33.8024804,89629.7884482,43132.2595020,0.6992646,-0.0179330,9.7222222,0.0000000
34.7435355,89629.1883240,43132.9843715,0.6846600,-0.0124258,9.7222222,0.0000000
35.6883513,89628.5949066,43133.7195808,0.6738049,-0.0104941,9.7222222,0.0000000
36.6525254,89627.9969532,43134.4759427,0.6643200,-0.0092361,9.7222222,0.0000000
37.6354470,89627.3945732,43135.2526493,0.6548826,-0.0099257,9.7222222,0.0000000
38.6335357,89626.7900107,43136.0468064,0.6471467,-0.0057661,9.7222222,0.0000000
39.6296079,89626.1921553,43136.8435050,0.6399061,-0.0086573,9.7222222,0.0000000
40.6329229,89625.5961791,43137.6506316,0.6326093,-0.0059405,9.7222222,0.0000000
